family_id,verdict,reason
gsm_train_00821,PASS,
gsm_train_02359,PASS,
gsm_train_01138,PASS,
gsm_train_01750,PASS,
gsm_train_01442,PASS,
gsm_train_00831,PASS,
gsm_train_05358,PASS,
gsm_train_06749,PASS,
gsm_train_07454,PASS,
gsm_train_01510,PASS,
gsm_train_00959,PASS,
gsm_train_03629,PASS,
gsm_train_01201,REJECT,"被删40可由题面20×2(twice)一步恢复,≤2步可复原"
gsm_train_04155,REJECT,"语法残渣:原'6 out of the 14'被替换成'an unspecified number of outs of the 14',病句"
gsm_train_05661,PASS,
gsm_train_04887,PASS,
gsm_train_00523,PASS,
gsm_train_07296,PASS,
gsm_train_02318,PASS,
gsm_train_06165,PASS,
gsm_train_02747,PASS,
gsm_train_02165,PASS,
gsm_train_06138,REJECT,"被删$5可由题面ten/two(10÷2)一步恢复,≤2步可复原"
gsm_train_01044,PASS,
gsm_train_02029,PASS,
gsm_train_06513,PASS,
gsm_train_04520,PASS,
gsm_train_01037,PASS,
gsm_train_07201,PASS,
gsm_train_05564,PASS,
gsm_train_06276,PASS,
gsm_train_03878,PASS,
gsm_train_04203,PASS,
gsm_train_03693,PASS,
gsm_train_06050,PASS,
gsm_train_06443,PASS,
gsm_train_04199,PASS,
gsm_train_02945,PASS,
gsm_train_01297,PASS,
gsm_train_06368,PASS,
gsm_train_02354,PASS,
gsm_train_05160,PASS,
gsm_train_06074,PASS,
gsm_train_05328,REJECT,"被删9可由4×2+1两步恢复(four other players/two players/one person),≤2步可复原"
gsm_train_00069,PASS,
gsm_train_00550,PASS,
gsm_train_01033,PASS,
gsm_train_06754,PASS,
gsm_train_00142,PASS,
gsm_train_06911,PASS,
gsm_train_05223,PASS,
gsm_train_03453,PASS,
gsm_train_06040,PASS,
gsm_train_05504,PASS,
gsm_train_01364,PASS,
gsm_train_05194,PASS,
gsm_train_06741,PASS,
gsm_train_07068,PASS,
gsm_train_01769,PASS,
gsm_train_03825,PASS,
gsm_train_02073,PASS,
gsm_train_05513,PASS,
gsm_train_02042,PASS,
gsm_train_02624,PASS,
gsm_train_02797,PASS,
gsm_train_00794,REJECT,"被删40可由20÷half一步恢复,≤2步可复原"
gsm_train_00929,PASS,
gsm_train_06145,PASS,
gsm_train_01105,PASS,
gsm_train_04771,PASS,
gsm_train_01594,PASS,
gsm_train_07229,PASS,
gsm_train_06851,PASS,
gsm_train_03480,PASS,
gsm_train_05150,PASS,
gsm_train_05473,REJECT,"被删30可由10×3(three months)一步恢复,≤2步可复原"
gsm_train_04558,REJECT,"被删16可由2×2÷(1/4)两步恢复(two siblings/2 slices/one-fourth),≤2步可复原"
gsm_train_06106,PASS,
gsm_train_04180,PASS,
gsm_train_02578,PASS,
gsm_train_03655,PASS,
gsm_train_02634,PASS,
gsm_train_01534,PASS,
gsm_train_05669,PASS,
gsm_train_01130,REJECT,"被删35可由7×5(one-seventh/four-fifth)一步恢复,≤2步可复原"
gsm_train_01861,PASS,
gsm_train_06549,PASS,
gsm_train_00624,PASS,
gsm_train_01327,PASS,
gsm_train_00039,PASS,
gsm_train_05135,PASS,
gsm_train_02838,PASS,
gsm_train_03329,PASS,
gsm_train_06580,PASS,
gsm_train_01313,PASS,
gsm_train_04963,PASS,
gsm_train_06957,REJECT,"世界知识可绕过:15-9-5狗龄换算为流行常识,'They say'框架诱导补全第二年=9"
gsm_train_04020,REJECT,"删除后仍可解:2/5+3/10+3/10=1,history恒=1与总数无关,被删变量非必要"
gsm_train_04257,PASS,
gsm_train_07412,PASS,
gsm_train_00323,PASS,
gsm_train_04884,PASS,
gsm_train_06744,PASS,
gsm_train_01027,PASS,
gsm_train_00579,PASS,
gsm_train_06740,PASS,
gsm_train_02748,PASS,
gsm_train_01010,PASS,
gsm_train_03743,PASS,
gsm_train_02654,PASS,
gsm_train_01688,PASS,
gsm_train_00005,PASS,
gsm_train_06504,PASS,
gsm_train_02514,PASS,
gsm_train_04696,PASS,
gsm_train_07338,PASS,
gsm_train_06217,PASS,
gsm_train_02114,PASS,
gsm_train_03290,PASS,
gsm_train_00690,PASS,
gsm_train_03130,PASS,
gsm_train_01739,PASS,
gsm_train_06436,PASS,
gsm_train_00585,PASS,
gsm_train_04748,PASS,
gsm_train_04316,PASS,
gsm_train_06389,PASS,
gsm_train_06976,PASS,
gsm_train_04523,PASS,
gsm_train_05075,PASS,
gsm_train_04714,PASS,
gsm_train_01508,PASS,
gsm_train_04660,PASS,
gsm_train_00148,PASS,
gsm_train_00917,PASS,
gsm_train_06064,PASS,
gsm_train_00820,PASS,
gsm_train_06065,PASS,
gsm_train_03319,PASS,
gsm_train_03985,PASS,
gsm_train_06802,PASS,
gsm_train_00376,PASS,
gsm_train_01695,PASS,
gsm_train_05575,PASS,
gsm_train_05162,PASS,
gsm_train_04029,PASS,
gsm_train_05060,PASS,
gsm_train_04995,PASS,
gsm_train_04950,PASS,
gsm_train_04226,PASS,
gsm_train_01971,PASS,
gsm_train_00057,PASS,
gsm_train_06357,PASS,
gsm_train_03091,PASS,
gsm_train_05224,PASS,
gsm_train_02084,REJECT,"病句“an unspecified number of cars garage”(2-car garage 定语被替换成病句);且“both cars”泄漏被删值2,仍可解"
gsm_train_07260,PASS,
gsm_train_04606,PASS,
gsm_train_00054,PASS,
gsm_train_01859,PASS,
gsm_train_01318,PASS,
gsm_train_03335,PASS,
gsm_train_04730,PASS,
gsm_train_04540,PASS,
gsm_train_00267,PASS,
gsm_train_00189,PASS,
gsm_train_04043,PASS,
gsm_train_04036,PASS,
gsm_train_05552,PASS,
gsm_train_00762,PASS,
gsm_train_01329,PASS,
gsm_train_04646,PASS,
gsm_train_04339,PASS,
gsm_train_00401,PASS,
gsm_train_01706,PASS,
gsm_train_03877,PASS,
gsm_train_05072,PASS,
gsm_train_02637,PASS,
gsm_train_01039,PASS,
gsm_train_06116,PASS,
gsm_train_05148,PASS,
gsm_train_01936,PASS,
gsm_train_04649,PASS,
gsm_train_02977,PASS,
gsm_train_05613,PASS,
gsm_train_01162,PASS,
gsm_train_02414,PASS,
gsm_train_04848,PASS,
gsm_train_00785,PASS,
gsm_train_07438,PASS,
gsm_train_01668,PASS,
gsm_train_00387,PASS,
gsm_train_04397,PASS,
gsm_train_02470,PASS,
gsm_train_05180,PASS,
gsm_train_01713,PASS,
gsm_train_07322,PASS,
gsm_train_05048,PASS,
gsm_train_00048,PASS,
gsm_train_06126,PASS,
gsm_train_03997,PASS,
gsm_train_01852,PASS,
gsm_train_02180,PASS,
gsm_train_06449,PASS,
gsm_train_05911,PASS,
gsm_train_00395,PASS,
gsm_train_01901,REJECT,"无关变量:1/4 距离用 1 小时,同速跑剩余 3/4 即 3 小时,总时 1+1+3=5,无需总里程"
gsm_train_00240,PASS,
gsm_train_00722,PASS,
gsm_train_03841,PASS,
gsm_train_06433,PASS,
gsm_train_06413,PASS,
gsm_train_02552,PASS,
gsm_train_02200,PASS,
gsm_train_06766,PASS,
gsm_train_06972,PASS,
gsm_train_03542,PASS,
gsm_train_02926,REJECT,"病句:定语“a 24 mile race”被替换成“an unspecified number of miles race”,不合英语语法"
gsm_train_02195,PASS,
gsm_train_05023,PASS,
gsm_train_00956,REJECT,"语法病句:""an unspecified number of squares feet large"",名词复数化残渣(square→squares)"
gsm_train_04278,PASS,
gsm_train_02818,PASS,
gsm_train_02227,PASS,
gsm_train_00671,PASS,
gsm_train_01496,PASS,
gsm_train_06735,PASS,
gsm_train_05649,PASS,
gsm_train_01917,PASS,
gsm_train_04131,PASS,
gsm_train_07101,PASS,
gsm_train_06528,PASS,
gsm_train_02286,PASS,
gsm_train_06076,PASS,
gsm_train_04026,PASS,
gsm_train_06095,PASS,
gsm_train_01928,PASS,
gsm_train_01590,PASS,
gsm_train_03650,PASS,
gsm_train_00991,PASS,
gsm_train_05395,PASS,
gsm_train_01447,PASS,
gsm_train_02961,PASS,
gsm_train_05343,PASS,
gsm_train_06832,PASS,
gsm_train_04080,REJECT,"语法病句:""an unspecified number of chocolates chip cookies"",修饰语被复数化(chocolate→chocolates)"
gsm_train_02478,PASS,
gsm_train_06318,PASS,
gsm_train_06360,PASS,
gsm_train_04530,REJECT,"语法病句:""an unspecified number of incorrects answers"",形容词被复数化(incorrect→incorrects)"
gsm_train_02939,PASS,
gsm_train_04484,REJECT,"语法病句:定语价格替换产生""his an unspecified amount paycheck"""
gsm_train_01988,PASS,
gsm_train_00625,PASS,
gsm_train_00034,PASS,
gsm_train_01582,PASS,
gsm_train_00753,PASS,
gsm_train_04247,PASS,
gsm_train_07162,PASS,
gsm_train_06193,PASS,
gsm_train_03018,PASS,
gsm_train_05662,PASS,
gsm_train_07019,PASS,
gsm_train_07251,PASS,
gsm_train_01658,PASS,
